fr101,"T. Inagaki, RIKEN/SPring-8, Hyogo","8-GeV C-Band Accelerator Construction for XFEL/SPring-8",1090 1094,
tup065,"K. Sakaue, RISE, Tokyo; S. Araki, M.K. Fukuda, Y. Higashi, Y. Honda, KEK, Ibaraki; N. Sasao, Kyoto University, Kyoto; T. Taniguchi, N. Terunuma, J. Urakawa, KEK, Ibaraki; M. Washio, RISE, Tokyo","Demonstration of Multi-Pulse X-ray Generation via Laser-Compton Scattering Using Pulsed-Laser Super-Cavity",545 547,
tup066,"S.H. Kim, M.-H. Cho, POSTECH, Pohang, Kyungbuk; S.D. Jang, PAL, Pohang, Kyungbuk; W. Namkung, POSTECH, Pohang, Kyungbuk; J.-S. Oh, NFRI, Daejon; S.J. Park, Y.G. Son, PAL, Pohang, Kyungbuk; H.R. Yang, POSTECH, Pohang, Kyungbuk","Commissioning of 10-MeV L-band Electron Linac for Industrial Applications",548 550,
tup068,"I.M. Karnaukhov, V. Azhazha, NSC/KIPT, Kharkov; I. Bolshinsky, Idaho National Laboratory, Idaho; A.N. Dovbnya, NSC/KIPT, Kharkov; M.Y.A. Gohar, ANL, Argonne; A.S. Kostromin, V.E. Krasnorutzkiy, I.M. Neklyudov, S.A. Perezhogin, S. Soldatov, A.Y. Zelinsky, NSC/KIPT, Kharkov","Project of a Neutron Source Based on the Sub-Critical Assembly Driven by Electron Linear Accelerator",551 553,
tup069,"N. Vinogradov, Northern Illinois University, DeKalb, Illinois; J.W. Lewellen, J. Noonan, ANL, Argonne; P. Piot, C.R. Prokop, Northern Illinois University, DeKalb, Illinois","Low Energy Photoemission Electron Source for Applications in THz Radiation Production and Time-Resolved Electron Microscopy",554 556,
tup071,"A.K. Mitra, J.T. Drozdoff, K. Langton, R.E. Laxdal, M. Marchetto, W.R. Rawnsley, J.E. Richards, TRIUMF, Vancouver","The ISAC-II SC-Linac Over Current Monitoring System",557 559,
tup072,"O. Pierret, CEA, Pontfaverger-Moronvilliers","AIRIX Diagnostic Devices for Focal Spot Size and Dose Measurements",560 560,
tup073,"R. Becker, IAP, Frankfurt am Main","Tailoring the Emittance of a Charged Particle Beam with a Tunnel Emittance Meter",561 563,
tup074,"J. Pfister, IAP, Frankfurt am Main; W. Barth, L.A. Dahl, P. Forck, F. Herfurth, O.K. Kester, GSI, Darmstadt; R. Nörenberg, U. Ratzinger, IAP, Frankfurt am Main; T. Stöhlker, GSI, Darmstadt","Commissioning of the HITRAP Decelerator Using a Single-Shot Pepper Pot Emittance Meter",564 566,
tup075,"C.P. Welsch, KIP, Heidelberg; C.P. Welsch, MPI-K, Heidelberg","DITANET: A European Initiative in the Development of Beam Instrumentation for Future Particle Accelerators",567 569,
tup076,"J. Egberts, S.T. Artikova, MPI-K, Heidelberg; E. Bravin, CERN, Geneva; T. Chapman, Thermo, Liverpool, New York; T. Lefèvre, CERN, Geneva; M.J. Pilon, Thermo, Liverpool, New York; C.P. Welsch, MPI-K, Heidelberg","Design of a Beam Halo Monitor with a High Dynamic Range",570 572,
tup077,"K. Yanagida, JASRI/SPring-8, Hyogo-ken; S.I. Inoue, Y. Otake, RIKEN/SPring-8, Hyogo; H. Tomizawa, A. Yamashita, JASRI/SPring-8, Hyogo-ken","Development of Screen Monitor with a Spatial Resolution of Ten Micro-meters for XFEL/SPring-8",573 575,
tup078,"K. Yanagida, H. Hanaki, S. Suzuki, JASRI/SPring-8, Hyogo-ken","Development of Integrator Circuit for Charge Monitoring",576 578,
tup079,"T. Suwada, K. Furukawa, E. Kadokura, M. Satoh, KEK, Ibaraki","Operational Performance of a New Beam-Charge Interlock System for Radiation Safety at the KEKB Injector Linac",579 581,
tup080,"T. Suwada, M. Satoh, KEK, Ibaraki","Numerical Study of a New Bunch Length Monitor Utilizing a Detection of Electromagnetic Fields in Millimeter-Wave Region",582 584,
tup081,"A.E. Dabrowski, S. Bettoni, H.-H. Braun, E. Bravin, R. Corsini, S. Döbert, C. Dutriat, T. Lefèvre, M. Olvegård, P.K. Skowronski, F. Tecker, CERN, Geneva","Transient Beam Loading Compensation in CTF3",585 587,
tup082,"A.E. Dabrowski, S. Bettoni, H.-H. Braun, R. Corsini, S. Döbert, CERN, Geneva; J.J. Jacobson, NU, Evanston; T. Lefèvre, H. Shaker, P.K. Skowronski, F. Tecker, CERN, Geneva; M. Velasco, NU, Evanston","Bunch Length Measurements in CTF3",588 590,
tup083,"K. Hanke, G. Bellodi, CERN, Geneva; H. Hori, MPQ, Garching, Munich; J.-B. Lallement, A.M. Lombardi, B. Mikulec, M. Pasini, U. Raich, E.Zh. Sargsyan, CERN, Geneva","Diagnostics and Measurement Strategy for the CERN Linac 4",591 593,
tup084,"C. Gabor, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; A.P. Letchford, STFC/RAL/ISIS, Chilton, Didcot, Oxon; J.K. Pozimski, STFC/RAL, Chilton, Didcot, Oxon; C.R. Prior, STFC/RAL/ASTeC, Chilton, Didcot, Oxon","Emittance Measurement Instrument for a High Brilliance H- Ion Beam",594 596,
tup085,"S.A. Kondrashev, A. Barcikowski, B. Mustapha, P.N. Ostroumov, ANL, Argonne; N. Vinogradov, Northern Illinois University, DeKalb, Illinois","Four-Dimensional Emittance Meter for DC Ion Beams Extracted from an ECR Ion Source",597 599,
tup086,"A.H. Lumpkin, T.W. Koeth, J. Ruan, Fermilab, Batavia","Initial Commissioning of a Dual-Sweep Streak Camera on the A0 Photoinjector",600 602,
tup087,"A.H. Lumpkin, Fermilab, Batavia; W. Berg, M. Borland, Y.L. Li, S.J. Pasky, N. Sereno, ANL, Argonne","Spectral and Charge-Dependence Aspects of Enhanced OTR Signals from a Compressed Electron Beam",603 605,
tup089,"P. Evtushenko, S.V. Benson, D. Douglas, D.W. Sexton, JLAB, Newport News, Virginia","Electron Beam Timing Jitter and Energy Modulation Measurements at the JLab ERL",606 608,
tup090,"P. Evtushenko, A. Freyberger, JLAB, Newport News, Virginia; C. Liu, CASA, newport news; A.H. Lumpkin, Fermilab, Batavia","Optical Diffraction Radiation Measurements at CEBAF",609 611,
tup091,"C.K. Allen, W. Blokland, S.M. Cousineau, J. Galambos, ORNL, Oak Ridge, Tennessee","Extracting Information Content within Noisy, Sampled Profile Data from Charged Particle Beams: Part II",612 614,
tup092,"R. Connolly, J.G. Alessi, S. Bellavia, W.C. Dawson, C. Degen, W. Meng, D. Raparia, T. Russo, N. Tsoupas, BNL, Upton, Long Island, New York","Laser-Based Profile and Energy Monitor for H- Beams",615 617,
tup093,"R. Boni, D. Alesini, INFN/LNF, Frascati (Roma); A. Bacci, Istituto Nazionale di Fisica Nucleare, Milano; M. Bellaveglia, C. Biscari, INFN/LNF, Frascati (Roma); I. Boscolo, Istituto Nazionale di Fisica Nucleare, Milano; M. Boscolo, INFN/LNF, Frascati (Roma); M. Bougeard, CEA, Gif-sur-Yvette; F. Broggi, Istituto Nazionale di Fisica Nucleare, Milano; B. Carré, CEA, Gif-sur-Yvette; M. Castellano, INFN/LNF, Frascati (Roma); F. Castelli, Istituto Nazionale di Fisica Nucleare, Milano; L. Catani, INFN-Roma II, Roma; E. Chiadroni, INFN/LNF, Frascati (Roma); S. Cialdi, Istituto Nazionale di Fisica Nucleare, Milano; A. Cianchi, INFN-Roma II, Roma; F. Ciocci, ENEA C.R. Frascati, Frascati (Roma); A. Clozza, INFN/LNF, Frascati (Roma); M.-E. Couprie, SOLEIL, Gif-sur-Yvette; L. Cultrera, INFN/LNF, Frascati (Roma); G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); C. De Martinis, Istituto Nazionale di Fisica Nucleare, Milano; M. Del Franco, ENEA C.R. Frascati, Frascati (Roma); G. Di Pirro, INFN/LNF, Frascati (Roma); A. Dipace, A. Doria, ENEA C.R. Frascati, Frascati (Roma); A. Drago, A. Esposito, M. Ferrario, L. Ficcadenti, D. Filippetto, V. Fusco, INFN/LNF, Frascati (Roma); G.P. Gallerano, ENEA C.R. Frascati, Frascati (Roma); A. Gallo, INFN/LNF, Frascati (Roma); D. Garzella, CEA, Gif-sur-Yvette; G. Gatti, A. Ghigo, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); D. Giove, Istituto Nazionale di Fisica Nucleare, Milano; E. Giovenale, ENEA C.R. Frascati, Frascati (Roma); M. Labat, G. Lambert, CEA, Gif-sur-Yvette; A. Lo Bue, ENEA C.R. Frascati, Frascati (Roma); B. Marchetti, A. Marinelli, INFN/LNF, Frascati (Roma); C. Maroli, Istituto Nazionale di Fisica Nucleare, Milano; C. Marrelli, INFN/LNF, Frascati (Roma); M. Mattioli, INFN-Roma, Roma; H. Merdji, CEA, Gif-sur-Yvette; M. Migliorati, A. Mostacci, INFN/LNF, Frascati (Roma); G.L. Orlandi, ENEA C.R. Frascati, Frascati (Roma); E. Pace, INFN/LNF, Frascati (Roma); S. Pagnutti, ENEA C.R. Frascati, Frascati (Roma); L. Palumbo, L. Pellegrino, INFN/LNF, Frascati (Roma); A. Petralia, ENEA C.R. Frascati, Frascati (Roma); M. Petrarca, INFN-Roma, Roma; V. Petrillo, Istituto Nazionale di Fisica Nucleare, Milano; M. Quattromini, ENEA C.R. Frascati, Frascati (Roma); R. Ricci, INFN/LNF, Frascati (Roma); C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); J.B. Rosenzweig, UCLA, Los Angeles, California; J. Roßbach, DESY, Hamburg; A.R. Rossi, Istituto Nazionale di Fisica Nucleare, Milano; P. Rossi, ENEA C.R. Frascati, Frascati (Roma); U. Rotundo, INFN/LNF, Frascati (Roma); E. Sabia, ENEA C.R. Frascati, Frascati (Roma); P. Salières, CEA, Gif-sur-Yvette; C. Sanelli, INFN/LNF, Frascati (Roma); L. Serafini, Istituto Nazionale di Fisica Nucleare, Milano; M. Serio, INFN/LNF, Frascati (Roma); M. Serluca, INFN-Roma, Roma; F. Sgamma, INFN/LNF, Frascati (Roma); I.P. Spassovsky, ENEA C.R. Frascati, Frascati (Roma); B. Spataro, INFN/LNF, Frascati (Roma); V. Surrenti, ENEA C.R. Frascati, Frascati (Roma); F. Tazzioli, INFN/LNF, Frascati (Roma); O. Tchebakoff, CEA, Gif-sur-Yvette; S. Tomassini, C. Vaccarezza, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma)","Activities on High Brightness Photo-injectors at the Frascati Laboratories, Italy",618 620,
tup094,"G. Isoyama, ISIR, Osaka; H. Hayano, KEK, Ibaraki; S. Kashiwagi, R. Kato, ISIR, Osaka; M. Kuriki, HU/AdSM, Higashi-Hiroshima; T. Muto, J. Urakawa, KEK, Ibaraki","Development of a Photocathode RF Gun for an L-Band Electron Linac",621 623,
tup095,"Y. Kato, A. Fujita, Y. Hama, RISE, Tokyo; H. Hayano, KEK, Ibaraki; T. Hirose, C. Igarashi, RISE, Tokyo; Y. Kamiya, University of Tokyo, Tokyo; S. Kashiwagi, ISIR, Osaka; M. Kuriki, HU/AdSM, Higashi-Hiroshima; R. Kuroda, AIST, Tsukuba, Ibaraki; A. Masuda, A. Murata, T. Nomoto, K. Sakaue, T. Suzuki, RISE, Tokyo; T. Takatomi, N. Terunuma, J. Urakawa, KEK, Ibaraki; M. Washio, RISE, Tokyo","Development of a Cs-Te Cathode RF Gun at Waseda University",624 626,
tup096,"V.V. Paramonov, RAS/INR, Moscow; K. Flöttmann, DESY, Hamburg; Y.Z. Kalinin, RAS/INR, Moscow; M. Krasilnikov, T.A. Scholz, F. Stephan, DESY Zeuthen, Zeuthen","RF Gun Development with Improved Parameters",627 629,
tup097,"T. Schietinger, A. Adelmann, Å. Andersson, M. Dietl, R. Ganter, C. Gough, C.P. Hauri, R. Ischebeck, S. Ivkovic, Y. Kim, F. Le Pimpec, S.C. Leemann, K.B. Li, P. Ming, A. Oppelt, M. Paraliev, M. Pedrozzi, V. Schlott, B. Steffen, A.F. Wrulich, PSI, Villigen","Measurements and Modeling at the PSI-XFEL 500 kV Low-Emittance Electron Source",630 632,
tup098,"R.M. Jones, UMAN, Manchester; W. Salah, The Hashemite University, Zarka","Lienard-Wiechert Potentials and Method of Images in RF Free Electron Laser Photoinjector",633 635,
tup099,"J.H. Han, Diamond, Oxfordshire","Design and Optimization of an S-Band Photoinjector",636 638,
tup100,"Y.-E. Sun, M. Borland, K.C. Harkay, Y.L. Li, H. Shang, ANL, Argonne","The Optimization of a DC Injector for the Energy Recovery Linac Upgrade to APS",639 641,
tup101,"W. Wan, C.E. Coleman-Smith, LBNL, Berkeley, California; G. Ferrini, Università Cattolica-Brescia, Brescia; C.M.R. Greaves, LBNL, Berkeley, California; M. Montagnese, Università Cattolica-Brescia, Brescia; H.A. Padmore, LBNL, Berkeley, California; S. Pagliara, F. Parmigiani, Università Cattolica-Brescia, Brescia; E. Pedersoli, A. Polyakov, LBNL, Berkeley, California","Photocathode R&D Program at LBNL",642 644,
tup103,"D. Mihalcea, P. Piot, Northern Illinois University, DeKalb, Illinois","Analysis of Halo Formation in a DC Photoinjector",645 647,
tup104,"P. Piot, Northern Illinois University, DeKalb, Illinois; M. Church, Fermilab, Batavia; D. Mihalcea, Northern Illinois University, DeKalb, Illinois; S. Nagaitsev, Fermilab, Batavia; I.V. Pogorelov, LBNL, Berkeley, California; Y.-E. Sun, Fermilab, Batavia","A High-Brightness Low-Energy Photoinjector Option for the Fermilab Electron Accelerator Facility",648 648,
tup105,"D. Mihalcea, Northern Illinois University, DeKalb, Illinois; C. Hernandez-Garcia, JLAB, Newport News, Virginia; P. Piot, Northern Illinois University, DeKalb, Illinois; S. Zhang, JLAB, Newport News, Virginia","Simulation of the Upgraded Photoinjector for the 10 kW JLAB IR-FEL",649 651,
tup106,"D. Mihalcea, P. Piot, Northern Illinois University, DeKalb, Illinois","Simulation of Field-Emission Cathodes for High Current Electron Injectors",652 654,
tup107,"P. Piot, Fermilab, Batavia; A. Bracke, Northern Illinois University, DeKalb, Illinois; C.-J. Jing, Euclid TechLabs, LLC, Solon, Ohio; T.J. Maxwell, D. Mihalcea, Northern Illinois University, DeKalb, Illinois; J.G. Power, ANL, Argonne; M.M. Rihaoui, Northern Illinois University, DeKalb, Illinois","Longitudinal Beam Diagnostics for the ILC Injectors and Bunch Compressors",655 655,
tup108,"D.C. Nguyen, G.O. Bolme, F.L. Krawczyk, F.A. Martinez, N.A. Moody, K.A. Young, LANL, Los Alamos, New Mexico; L.M. Young, AES, Medford, NY","Initial RF Measurements of the CW Normal-Conducting RF Injector",656 657,
tup110,"R.A. Legg, UW-Madison/SRC, Madison, Wisconsin","Modeling of a Low Frequency SRF Electron Gun for the Wisconsin FEL",658 660,
tup111,"S. Pei, C. Adolphsen, SLAC, Menlo Park, California","Longitudinal Bunch Lengthening Compensation in a High Charge RF Photoinjector",661 663,
tup112,"J.K. Keung, University of Pennsylvania, Philadelphia, Pennsylvania; S. Nagaitsev, J. Ruan, Fermilab, Batavia","Laser Timing Jitter Measurements at the Fermilab A0 Photoinjector",664 666,
tup113,"T.W. Koeth, Rutgers University, The State University of New Jersey, Piscataway, New Jersey; L. Bellantoni, H.T. Edwards, R.P. Fliller, A.S. Johnson, A.H. Lumpkin, J. Ruan, R. Thurman-Keup, Fermilab, Batavia","Emittance Exchange at the Fermilab A0 Photoinjector",667 669,
tup115,"P. Spädtke, R. Lang, J. Mäder, J. Roßbach, K. Tinschert, GSI, Darmstadt","Beam Transport Effects for ECRIS",670 672,
tup116,"M. Ichikawa, H. Fujisawa, Y. Iwashita, T. Sugimoto, H. Tongu, M. Yamada, Kyoto ICR, Uji, Kyoto","Development of Very Small ECR Ion Source with Pulse Gas Valve",673 675,
tup117,"P.N. Ostroumov, K.-J. Kim, ANL, Argonne; P. Piot, Northern Illinois University, DeKalb, Illinois","Development of Ultra-Low Emittance Injector for Future X-Ray FEL Oscillator",676 678,
tup118,"P.N. Ostroumov, A. Barcikowski, S.A. Kondrashev, B. Mustapha, R.H. Scott, S.I. Sharamentov, ANL, Argonne; N. Vinogradov, Northern Illinois University, DeKalb, Illinois","Extraction From ECR and Recombination of Multiple-Charge State Heavy-Ion Beams in LEBT",679 681,
tup119,"M.P. Stockli, B. Han, S.N. Murray, ORNL, Oak Ridge, Tennessee; D.J. Newland, ORNL RAD, Oak Ridge, Tennessee; T.R. Pennisi, M. Santana, R.F. Welton, ORNL, Oak Ridge, Tennessee","Ramping Up the SNS Beam Current with the LBNL Baseline H- Source",682 684,
tup120,"J.G. Alessi, D.S. Barton, E.N. Beebe, S. Bellavia, O. Gould, A. Kponou, R.F. Lambiase, E.T. Lessard, V. LoDestro, R. Lockey, M. Mapes, D.R. McCafferty, A. McNerney, M. Okamura, A. Pendzick, D. Phillips, A.I. Pikin, D. Raparia, BNL, Upton, Long Island, New York; U. Ratzinger, IAP, Frankfurt am Main; J. Ritter, J. Scaduto, BNL, Upton, Long Island, New York; A. Schempp, IAP, Frankfurt am Main; L. Snydstrup, M. Wilinski, A. Zaltsman, BNL, Upton, Long Island, New York","EBIS Preinjector Construction Status",685 687,
we101,"G.A. Krafft, JLAB, Newport News, Virginia","Energy Recovered Linacs",688 692,
we102,"T. Furuya, KEK, Ibaraki","High Average Current SRF Cavities",693 693,
we103,"D.J. Holder, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","First Results from the ERL Prototype (ALICE) at Daresbury",694 698,
we104,"B.M. Dunham, I.V. Bazarov, S.A. Belomestnykh, M.G. Billing, E.P. Chojnacki, Z.A. Conway, J. Dobbins, R.D. Ehrlich, M.J. Forster, S.M. Gruner, G.H. Hoffstaetter, V.O. Kostroun, Y. Li, M. Liepe, X. Liu, D.G. Ouzounov, H. Padamsee, D.H. Rice, V.D. Shemelin, C.K. Sinclair, E.N. Smith, K.W. Smolenski, A.B. Temnykh, M. Tigner, V. Veshcherevich, T. Wilksen, CLASSE, Ithaca, New York","First Tests of the Cornell University ERL Injector",699 703,
we105,"C. Hovater, JLAB, Newport News, Virginia","RF Control of High QL Superconducting Cavities",704 708,
we201,"S.A. Belomestnykh, CLASSE, Ithaca, New York","RF Systems for CW SRF Linacs",709 709,
we202,"J. Galambos, ORNL, Oak Ridge, Tennessee","Operational Experience with High Power Beams at the SNS Superconducting Linac",710 713,
we203,"S. Nagaitsev, Fermilab, Batavia","Fermilab's Project X",714 714,
we204,"Y. Iwata, NIRS, Chiba-shi; T. Fujimoto, AEC, Chiba; T. Fujisawa, S. Hojo, NIRS, Chiba-shi; T. Mitsumoto, SHI, Tokyo; N. Miyahara, T.M. Murakami, M. Muramatsu, H. Ogawa, Y. Sakamoto, NIRS, Chiba-shi; T. Takeuchi, AEC, Chiba; H. Tsutsui, T. Ueda, T. Watanabe, SHI, Tokyo; S. Yamada, K. Yamamoto, NIRS, Chiba-shi","IH-DTL as a Compact Injector for a Heavy-Ion Medical Synchrotron",715 719,
we205,"B. Schlitt, GSI, Darmstadt","Commissioning and Operation of the Injector Linacs for HIT and CNAO",720 724,
