FRX01A,"D.M. Lewis","Accelerators in Industry",
TUP101L,"S.G. Kadantsev, E. Klassen, M.M. Mouat, P.W. Wilmshurst","PCI to CAMAC Executive Crate Connection",
TUP102G,"F. Zimmermann","Simulation Studies of the SLC Bunch Compressor RTL",
TUP102L,"T. Bergmark, D. Li, D. Reistad, Y. Yin","D.C. to 100 kHz Beam Current Transformer for CELSIUS",
TUP103G,"J. Irwin, F. Zimmermann","Impact of Final-Focus Ground Motion on NLC Luminosity",
TUP103L,"J. Campmany, J.A. Perlas","First Approach to the Control System for the LSB",
TUP104G,"R. Maier, S. Martin, D. Prasuhn, O.W.B. Schult, I. Zychor","Beam Parameters at the Internal Target Positions for Experiments in COSY-Juelich",
TUP104L,"S.I. Karabekian, I.P. Karabekov","Vector Polarimeter using Synchrotron Radiation for Linear and Circular Electron Colliders",
TUP105L,"S.I. Karabekian, I.P. Karabekov","A Facility for High Precision Absolute Energy Measurement using the K-Edge Absorption Phenomenon for Linear Accelerators",
TUP107G,"H. Calen, C. Ekstrom, S. Kullander, D. Reistad","CELSIUS as an Eta Factory",
TUP108G,"D. Reistad, et al.","Recent Activities at CELSIUS",
TUP109G,"M.K. Craddock, D.I. Kaltchev, R.V. Servranckx","Optimization of Collimator Jaw Locations for the LHC",
TUP110G,"R. Baartman, M.K. Craddock, G. Dutto, T. Kuo, B. Milton","A Possible High Current H- Injector for Cyclotron-Based "Energy Amplifier" Accelerator",
TUP111G,"A. Dolinskii, H. Eickhoff, B. Franczak, B. Franzke, A. Valkov","Operation of the ESR GSI, Darmstadt at the Transition Energy",
TUP112G,"G. Miano, M. de Magistris, L. de Menna","Effects of the Transverse-Longitudinal Coupling on the Strong Focusing of Charged Beams for ICF",
TUP113G,"F. Perez, M. Pont","A Proposed Booster Synchrotron for the LSB",
TUP114G,"F. Perez, M.J. Vicente","Lifetime Calculations for the LSB Storage Ring",
TUP115G,"D. Constantinescu","On the Influence of Some Discretisation Methods in the Study of the Dynamical Systems",
TUP116G,"D. Constantinescu, R. Constantinescu, M. Negrea","The Relativistic Particle in a Fluctuating Electromagnetic Field",
TUP117G,"R. Constantinescu","The Electromagnetic Field as Constrained System",
TUP118G,"S. Kurennoy","Impedances and Power Losses for an Off-Axis Beam",
TUP119G,"S. Kurennoy","Polarizabilities of an Annular Cut in the Thick Wall",
TUP120G,"S.G. Arutunian, M.R. Mailian","Synchrotron Radiation Spatial Structures inside the Bunch",
TUX01A,"D. Rice","CESR: Steps Toward a B Factory",
TUX01T,"H. Danared","Where are we after 30 Years of Electron Cooling",
TUX02A,"G. Vignola","DAFNE: The First PHI Factory",
TUX02T,"M. Lieuvin","Design Issues of Radioactive Ion Beam Facilities",
TUX03A,"K. Akai","RF Issues for High Intensity Factories",
TUX03T,"J.P. Delahaye","Design Issues of TeV Linear Colliders",
TUY01A,"R. Boni","HOM-free Cavities",
TUY01T,"K. Aulenbacher, R. Bossart, H.H. Braun, F. Chautard, R. Corsini, J.P. Delahaye, J.C. Godot, S. Hutchins, I. Kamber, J.H.B. Madsen, L. Rinolfi, G. Rossat, S. Schreiber, G. Suberlucq, L. Thorndahl, I. Wilson, W. Wuensch","Results from the CLIC Test Facility",
TUY02A,"K. Bongardt, M. Pabst","Accelerator Physics of High Intensity Proton Linacs",
TUY02T,"R.D. Ruth","The Next Linear Collider Test Accelerator: Status and Results",
TUY03A,"V. Shiltsev","Alignment and Stability of Future Machines",
TUY03T,"H. Hayano","The KEK Accelerator Test Facility",
TUY04A,"T.A. Broome","High Power Targets for Spallation Sources",
TUY04T,"B. Aune","TESLA Test Facility: Status and Results",
TUY05T,"N. Holtkamp","The S-band Linear Collider Test Facility",
TUZ01A,"I. Hofmann","Inertial Fusion with Accelerators",
TUZ02A,"N. Angert","Status and Development of the GSI Accelerator Facilities",
WEO01A,"F. Bourg, M. Delaunay, A. Girard, D. Hitz, H. Khodja, P. Ludwig, G. Melin","The Caprice ECR Sources of Multicharged Ions New Results and a New Prototype",
WEO03A,"N.A. Artemiev, O.V. Chubar, A. Valentinov","Electron Beam Diagnostics with Visible Synchrotron Light on Siberia-1 Ring",
WEO04A,"A.H. Lumpkin, B.X. Yang","Commissioning Results of the APS Storage Ring Photon Monitor Systems",
WEO05A,"F. Claus, A. Drago, J. Fox, H. Hindi, I. Linscott, S. Prabhakar, W. Ross, M. Serio, G. Stover, D. Teytelman","Observation, Control and Modal Analysis of Coupled-Bunch Longitudinal Instabilities",
WEO06A,"I. Altmann, K. Rehlich, T. Schilcher, S.N. Simrock","Design of the Digital RF Control System for the TESLA Test Facility",
WEO07A,"R. Saban, et al.","The LHC Test String: First Operational Experience",
WEP001G,"J. Bahrdt, A. Gaupp, G. Ingold, M. Scheer","Status of the Insertion Devices for BESSY II",
WEP001L,"A. Goehl, T. Habermann, G. Mueller, H. Piel, N. Pupeter","The Role of Geometric Field Enhancement for the Enhanced Field Emission of Niobium ",
WEP002G,"D. Kraemer","Status of the High Brilliance Synchrotron Radiation Source BESSY II",
WEP002L,"P. Kneisel, D. Mansen, G. Mueller, H. Piel, J. Pouryamout, R. Roeth","Nb3Sn Layers on High-Purity Nb Cavities with Very High Quality Factors and Accelerating Gradients",
WEP003G,"J. Bahrdt, A. Gaupp, G. Ingold, M. Scheer, G. Wuestefeld","A Double Undulator for the Production of Circularly Polarized Light at BESSY II",
WEP003L,"K.R. Chu, F. Schoenfeld, Y.C. Tsai, E. Weihreter","Layout of a Broadband Circular Waveguide to Coaxial Transition",
WEP004L,"R. Apel, H. Henke, F. Schoenfeld, E. Weihreter","A Cavity with Circular Waveguides for HOM Damping",
WEP005G,"A.V. Aleksandrov, M.S. Avilov, G. Ciullo, N.S. Dikansky, V. Guidi, G. Lamanna, P. Lenisa, P.V. Logatchev, A.V. Novokhatski, B.A. Skarbo, L. Tecchio","Measurement of the Longitudinal Coupling Impedances using Short Electron Bunch",
WEP007G,"A. Filipchenko, E. Gorniker, A. Kadnikov, A.S. Kalinin, V. Korchuganov, Yu. Krylov, G. Kulipanov, G. Kurkin, E. Levichev, Yu. Matveev, D. Odintsov, S. Pesterev, V. Sajaev, V. Stankevich, V. Ushakov, V. Ushkov, A. Valentinov, Yu. Yupinov, A. Zabelin","SIBERIA-2: Work in Progress",
WEP008L,"G. Bienvenu, J.C. Bourdon, S. Chel, M. Desmons, C. Dupery, T. Garvey, X. Hanus, T. Junquera, J. Le Duff, A. Le Goff, G. Mace, S. Maissa, J. Marini, A. Mosnier, R. Panvier, N. Solyak","Power Coupler Development for SC Cavities",
WEP009G,"C. Dickey, G.V. Karpov, J. Madey, A.S. Medvedko, E.I. Shubin, N.I. Zinevich","NMR System for Magnetic Field Measurements at the MARK-3 Free Electron Laser",
WEP009L,"E. Haebel, H.P. Kindermann, M. Stirbet, V. Veshcherevich","Status of RF Power Couplers for Superconducting Cavities at CERN",
WEP010G,"M.M. Karliner, V. Kiselev, A.S. Medvedko, V.V. Smaluk, A.M. Zelenin, N.I. Zinevich","The Feedback System for Elemination the Fast Head-tail Instability at Storage Ring VEPP-4M",
WEP010L,"T. Bohl, D. Boussard, T. Linnecar, V. Roedel","A Superconducting RF Cavity for Bunch Compression of the High-Intensity SPS Proton Beam Transfer to LHC",
WEP011G,"K. Crawford, J.R. Delayen, L. Doolittle, C. Hovater, R. Kazimi, G. Krafft, L. Merminga, C. Reece, S.N. Simrock, M. Tiefenback, D.X. Wang","Experiments and Simulation of High Current Operation at CEBAF",
WEP011L,"D. Boussard, P. Brown, J. Tueckmantel","Electroacoustic Oscillations in the LEP SC Cavities",
WEP012G,"J. Bisognano, J.R. Delayen, L. Merminga","Energy Stability in Recirculating, Energy-Recovering Linacs in the Presence of an FEL",
WEP012L,"P. Barnes, S. Belomestnykh, E. Chojnakci, D. Coffman, R. Erlich, J. Graber, W. Hartung, T. Hays, R. Kaplan, J. Kirchgessner, E. Nordberg, H. Padamsee, D. Rubin, J. Sears","Superconducting RF System for the CESR Luminosity Upgrade: Design, Status and Plans",
WEP013L,"D.M. Dykes","The DIAMOND RF System",
WEP014G,"M. Chanel","Study of Beam Envelope Oscillations by Measuring the Beam Transfer Function with Quadrupolar Pick-up and Kicker",
WEP014L,"D.M. Dykes","RF System Changes Associated with the SRS Upgrade",
WEP015G,"G. Guignard, J. Hagel","Multibunch Emittance Preservation in CLIC",
WEP015L,"D.M. Dykes, C.W. Horrabin","DIAMOND Low Power RF System",
WEP016G,"R. Corsini, A. Hofmann","A Possible FEL Based on LEP Superconducting Cavities",
WEP016L,"D.M. Dykes, C.W. Horrabin","A Timing System for DIAMOND",
WEP017G,"E. Shaposhnikova","Nonlinear Bunch Motion in an Accelerator with Reactive Impedance",
WEP017L,"P.A. McIntosh","Comparison of RF Cavity Designs for 3rd Generation Light Sources",
WEP018G,"L. Elias","Self-Consistent Three-dimensional Sase X-ray Radiation via Lienard-Wiechert Fields",
WEP018L,"P.A. McIntosh, M.W. Poole","Investigations of Energy Regeneration FEL Structures Operating at 3 GHz",
WEP019G,"T. Katayama, Y.N. Rao","Intrabeam Scattering of Heavy Ion in DSR ",
WEP019L,"D.M. Dykes, P.A. McIntosh","Higher Order Mode HOM Induced Longitudinal Coupled Bunch LCB Instabilities at the SRS",
WEP020G,"N. Inabe, T. Katayama, M. Wakasugi","Undulator and Photon Spectrum at DSR",
WEP020L,"C.L. Dawson, D.M. Dykes, P.A. McIntosh","Temperature Dependent Higher Order Modes HOM in the SRS Cavities",
WEP021G,"J.A. Clarke, H.L. Owen","Measurement of Vertical Dispersion and Coupling in the Daresbury SRS",
WEP022G,"J.A. Clarke","A Planar Helical Undulator for the SRS",
WEP022L,"W.D. Moeller, M. Pekeler","Measurements of TESLA Cavities for TTF",
WEP023G,"S.F. Hill, S.L. Smith","Closed Orbit Control in Energy Ramps on the SRS at Daresbury",
WEP023L,"J. Sekutowicz","Note on Performance of the RF System in the HERA e-Ring",
WEP024G,"E.A. Hughes, S.L. Smith","The Effect of using Gapped Beams on a Storage Ring RF System",
WEP025G,"J.A. Clarke, H.L. Owen","Operation of the Daresbury Synchrotron Radiation Source with Reduced Vertical Aperture",
WEP025L,"C.J. Timmermans, R.W. de Leeuw","The RF Power Set Up for a Linac - Racetrack Microtron Combination",
WEP026G,"J.A. Clarke, M.W. Poole","Upgrading the Daresbury SRS with Additional Insertion Devices and its Implications for the Storage Ring Layout",
WEP026L,"J.I.M. Botman, P. Brinkgreve, J.E. Coppens, T. Drouen, H.L. Hagedoorn, C.J. Timmermans, R.W. de Leeuw","The Accelerating Cavity of the Racetrack Microtron Eindhoven",
WEP027G,"M.W. Poole, V.P. Suller","Design Progress on DIAMOND, a Proposed UK National Light Source",
WEP027L,"J.I.M. Botman, C.H.Ph. Wassink, R.W. de Leeuw, M.J. van de Sande","Tank, Cell and Bridge Coupler Design for the CCL of the ESS Project",
WEP028G,"P.A. McIntosh, M.W. Poole, G. Saxon, M. de Wijs","Beam Energy Replacement in a Compact FEL",
WEP028L,"C. David, J. Jacob, A. Panzarella, J.P. Perrine, J.L. Revol","Construction of a Third RF Acceleration Unit for the ESRF Storage Ring",
WEP029G,"J.A. Clarke, M.W. Poole, X. Queralt","Optimizing DIAMOND Insertion Device Brightness",
WEP029L,"K. Kaspar, U. Ratzinger","Design of the GSI 36 MHz RFQ Accelerator on the Base of Mafia Calculations",
WEP030G,"J. Feikes","Reduction of Landau Damping in Hera",
WEP031L,"P.V. Belov, O.P. Lebedev","A Second Harmonic in Ferrite Dominated Cavity of U-70",
WEP032L,"R. Boni, A. Gallo, F. Marcellini","High Power Test of the Waveguide Loaded RF Cavity for the Frascati PHI-Factory Main Rings",
WEP033L,"G. Bassato, G. Bisoffi, L. Boscagli, S. Canella, D. Carlucci, F. Chiurlotto, S. Gustafsson, A.M. Porcellato","Automatic Multipactoring Conditioning of the Super-Conducting Resonators in the ALPI Linac",
WEP034G,"V. Shiltsev","Beam Dynamics Issues in TESLA Damping Ring",
WEP035G,"L. Farvacque, J.L. Laclare, C. Limborg, A. Ropert, K. Scheidt, U. Weinrich","Probing Some of the Issues of Fourth Generation Light Sources at the ESRF",
WEP036G,"N. Rouviere","RF Liners for High Brilliance Beam",
WEP036L,"M. Cavenago, M. Morvillo, A.M. Porcellato","High Resolution Bead Technique Measurements and Multipole Analysis",
WEP037G,"G. Muelhaupt, G. Schmidt, U. Weinrich","First Results of Beam Storing in the ESRF Booster Synchrotron",
WEP038G,"D. Einfeld, M. Plesko, J. Schaper","A Lattice Design to Reach the Theoretical Minimum Emittance for a Storage Ring",
WEP038L,"W. Bruns, H. Henke, R. Merte","Design of a 94 GHz Accelerating Structure",
WEP039G,"D. Einfeld, F. Iazzourene, H.O. Moser, J. Schaper","Lattice and Dynamical Behavior of the Light Source ANKA",
WEP039L,"W. Bruns, S. Solyga","Cavity Design for a Planar MM-Wave Sheet Beam Klystron",
WEP040L,"M. Izawa, Y. Kamiya, T. Koseki, T. Miura, K. Sato, K. Shinoe, S. Tokumoto","High-Power Conditioning of an RF Cavity for High Brilliant Synchrotron Radiation Source",
WEP041L,"T. Katayama, M. Takanaka","Beam Current Limitation due to Single-beam Collective Effects in the Ion Storage Ring of RIKEN RI-Beam Factory Project",
WEP042L,"T. Katayama, M. Takanaka","Design of Beam Bunching System for the Ion Storage Ring of RIKEN RI-Beam Factory Project",
WEP043L,"A. Caruette, M. Fouaidy, T. Junquera, J.C. Le Scornet, Q.S. Shu","Analysis of Thermal Effects in TESLA SRF Cavities using Surface Scanning Thermometers",
WEP044L,"A. Caruette, M. Fouaidy, T. Junquera, A. Le Goff, J. Lesrel, S. Maissa","Field Emission Investigation in a SCRF Cavity Contaminated with Alumina Particles",
WEP045L,"N.I. Azorsky, V.E. Balakin, G.V. Dolbilov, A.A. Fateev, S.Yu. Kazakov, N.I. Lebedev, V.A. Petrov, V.S. Shvetsov, V.E. Teryaev, V.F. Vogel, M.V. Yurkov","Experimental Study of 100 MW Wide-aperture X-band Klystron with RF Absorbing Drift Tubes",
WEP046G,"I. Hofmann, P. Moritz, U. Oeftiger","Study of Self-Bunching Effects for High-Current Injection into SIS",
WEP046L,"K. Akai, N. Akasaka, E. Ezura, T. Kageyama, T. Kobayashi, H. Mizuno, F. Naito, H. Nakanishi, Y. Takeuchi, Y. Yamazaki","Tuning Control and Transient Response of the ARES for KEKB",
WEP047G,"Y.H. Chin, H. Fukuma, Z. Guo, S. Hiramatsu, M. Izawa, T. Kasuga, E. Kikutani, Y. Kobayashi, S. Kurokawa, D.K. Liu, L. Ma, K. Ohmi, Y. Sato, Y. Suetsugu, M. Tobiyama, J.Q. Wang, S.H. Wang, K. Yokoya, C. Zhang, X.L. Zhang, F. Zhou","The Proposed Experimental Study on Beam-Photoelectron Interactions in BEPC",
WEP047L,"K. Akai, Y. Funakoshi","Beam-Loading Issues and Requirements for the KEKB Crab RF System",
WEP048G,"S. Ivanov, M. Pozdeev","Beam with Unequal Bunches versus a Wide-band Impedance in a Synchrotron: Stability Criterion",
WEP048L,"K. Akai, N. Akasaka, E. Ezura, T. Kageyama, T. Kobayashi, H. Mizuno, F. Naito, H. Nakanishi, Y. Takeuchi, Y. Yamazaki","Quadrupole Counter Mixing Choke Structure for the KEKB ARES Cavity",
WEP049G,"S. Ivanov, A. Malovitsky","Longitudinal Coupled-bunch Beam Feedback System in the UNK",
WEP049L,"K. Akasaka, S. Kamada","Experimental Study of Head-Tail Damping and Nonlinear Filamentation Based on Precise Analysis of Coherent Betatron Oscillations in Electron Storage Rings",
WEP050G,"M. Berglund, S.Y. Lee","Overlapping Synchrotron Sideband Resonances",
WEP050L,"N. Akasaka, Y.H. Chin, C.K. Ng, K. Tajima, Y. Takeuchi","Design of HOM Power Absorbers for the KEK B-Factory",
WEP051G,"F. Galluccio, F. Willeke","First Estimate of the Overall HERA-p Transverse Impedance by Means of Growth Rate Measurements",
WEP051L,"K. Akai, K. Asano, E. Ezura, T. Furuya, K. Hara, K. Hosoyama, Y. Ishi, A. Kabe, Y. Kijima, Y. Kojima, S. Mitsunobu, Y. Morita, T. Murai, H. Nakanishi, K. Sennyu, T. Shishido, T. Tajima, T. Takahashi, T. Takashima, S. Yoshimoto","A Prototype Module of Superconducting Damped Cavity for KEKB",
WEP052G,"A. Burov, G. Lamanna, A. Pisent, L. Tecchio, V. Variale","Cooled Beam Instabilities driven by a Ring Periodicity Perturbation",
WEP052L,"S. Anami, A. Enomoto, H. Hanaki, H. Katagiri, S. Michizono, Y. Otake, Y. Saito","Test Operation of the PF Linac RF System Upgraded for the KEKB Injector",
WEP053G,"A. Firjahn-Andersch, J. Madlung, A. Schempp, H. Zimmermann","A Two-Beam RFQ and a Novel Design for Ion Beam Funneling",
WEP053L,"M. Izawa, Y. Kamiya, T. Koseki, M. Kudo, T. Tajima, N. Taniyama, S. Tokumoto","Beam Test of a SiC Duct Developed for an RF Damped Cavity",
WEP054L,"K. Akai, N. Akasaka, E. Ezura, T. Kageyama, T. Kobayashi, H. Mizuno, F. Naito, H. Nakanishi, Y. Takeuchi, Y. Yamazaki","The ARES Cavity for the KEK B-Factory",
WEP055G,"Y. Kamiya, Y. Kobayashi, H. Takaki","A Lattice for the Future Project of VUV and Soft X-Ray High Brilliance Light Source",
WEP055L,"T. Fujino, Y. Funahashi, T. Higuchi, H. Inoue, E. Kako, M. Matsuoka, S. Noguchi, M. Ono, K. Saito, T. Shishido, T. Suzuki, H. Umezawa","Thermal Quench Phenomena on the 1.3 GHz High Gradient Superconducting Cavities",
WEP056G,"S. Hashimoto, K. Kobayashi, Y. Miyahara, S. Sasaki, T. Shimada, M. Takao","Design Study of Quasi-Periodic Undulator",
WEP056L,"N. Akasaka, H. Matsumoto, T. Shintake, K. Watanabe","Low Temperature Brazing Technique for Accelerators",
WEP057G,"G.V. Dolbilov, A.A. Fateev, I.I. Golubev, I.N. Ivanov, V.V. Kosukhin, N.I. Lebedev, V.A. Petrov, V.N. Razuvakin, E.L. Saldin, E.A. Schneidmiller, V.S. Shvetsov, M.V. Yurkov","Status of the Test Facility for Studies FEL Bunching Technique for CLIC Driving Beam",
WEP058G,"L. Bobyleva, E. Perelstein","On RMS Envelope Equation Problem for Nonlinear Motion",
WEP058L,"K. Akai, N. Akasaka, E. Ezura, T. Kageyama, T. Kobayashi, H. Mizuno, F. Naito, H. Nakanishi, Y. Takeuchi, Y. Yamazaki","The Input Coupler for the KEKB ARES Cavity",
WEP059G,"J. Rossbach, E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","Performance Limitations of an X-ray FEL",
WEP059L,"M. Akemoto, F. Hinode, K. Kubo, S. Sakanaka, J. Urakawa","High-power Test of a 714-MHz HOM-damped Cavity for the ATF Damping Ring",
WEP060G,"S.K. Nam","Instability due to the Longitudinal Higher Modes in the Electron Storage Ring",
WEP060L,"N. Akasaka, T. Shintake","A New RF Pulse-Compressor using Multi-Cell Coupled-cavity System",
WEP061G,"S. Hashimoto, Y. Kamiya, M. Kawai, H. Kobayashi, T. Koseki, Y. Miyahara, S. Sasaki, N. Sei, T. Shimada, K. Shinoe, M. Takao, K. Yamada, T. Yamazaki, M. Yokoyama","First Observation of Quasiperiodic Undulator Radiation",
WEP061L,"K. Asano, T. Furuya, N. Gamo, S. Iida, Y. Ishi, Y. Kijima, S. Mitsunobu, K. Sennyu, S. Tachibana, T. Tajima, T. Takahashi, H. Takashina","HOM Absorbers of Superconducting Cavities for KEKB",
WEP062G,"H. Fukuma, et al.","A Light-source Operation at the TRISTAN MR",
WEP062L,"K. Akai, N. Akasaka, E. Ezura, T. Kageyama, T. Kobayashi, H. Mizuno, F. Naito, H. Nakanishi, Y. Takeuchi, Y. Yamazaki","The SiC Absorber for the KEKB ARES Cavity",
WEP063G,"T. Ieiri","Hysteresis Phenomena in Bunch Lengthening at the KEK Accumulation Ring",
WEP063L,"M.I. Ayzatsky","Analytical Solutions in the Two-cavity Coupling Problem",
WEP064G,"Y. Hori, M. Katoh","Status of the Emittance Upgrade Project at the Photon Factory Storage Ring",
WEP064L,"M.I. Ayzatsky","New Mathematical Model of an Infinite Cavity Chain",
WEP065G,"M. Katoh, S. Sato, S. Suzuki, T. Yamakawa","Lattice Design of a Synchrotron Radiation Source at Tohoku University",
WEP066G,"N.E. Andreev, M. Arinaga, B. Cros, M. Kando, T. Kawakubo, V.I. Kirsanov, H. Kotaki, T. Kozawa, K. Nakajima, H. Nakanishi, A. Ogata, H. Shibata, K. Tani, T. Ueda, M. Uesaka","A GeV Laser Wakefield Accelerator driven by a T3 Laser",
WEP067G,"K. Ohmi","A Coupled Bunch Instability due to Beam-Photoelectron Interactions in Positron Storage Rings",
WEP067L,"A.N. Dovbnya, V.F. Zhiglo","Primary and Secondary Phenomena during RF-Processing of Electron Linac Structures",
WEP068G,"K. Kanazawa, Y. Suetsugu","Development of a Bellows Assembly with RF-Shield for KEKB",
WEP069L,"M. Allen, K. Fant, M. Franks, A. Hill, M. Hoyt, J. Judkins, R.A. Rimmer, J. Saba, H. Schwarz","High-Power Testing of the First PEP-II RF Cavity",
WEP070G,"C. Zhang","Measurement of Local Longitudinal Loss Factor using BPM in TRISTAN MR",
WEP070L,"J. Byrd, D.A. Goldberg, M. Irwin, R.A. Rimmer","Updated Impedance Estimate of the PEP-II RF Cavity",
WEP071G,"E. Bulyak","Ion Clearing Methods for the Electron Storage Ring",
WEP071L,"D. Anderson, S. Chattopadhyay, S. Eylon, G. Giordano, E. Henestroza, T. Houck, S. Lidia, L. Reginato, A. Sessler, D. Vanecek, G. Westenskow, S. Yu","RF Power Source Development at the RTA Test Facility",
WEP072L,"C. Pardini, D. Wisnivesky","The LNLS RF System",
WEP073G,"P. Gladkikh, I. Karnaukhov, A. Mytsykov","The Effect of the Superconducting Wiggler on the Dynamic Aperture ISI-800",
WEP073L,"A.N. Didenko","About One Possible Explanation of Influence of Microwave Magnetic Field on Quality Factor of Superconducting Accelerating System",
WEP074L,"S.V. Ivanov, V.E. Kaljuzhny, O.S. Milovanov, A.N. Parvenov, N.P. Sobenin","Investigation of the High Order Mode HOM Field Distribution in the Beginning Part 30 cells of the SBLC Accelerating Structure",
WEP075G,"E. Bulyak, S. Efimov, P. Gladkikh, I. Karnaukhov, S. Kononenko, V. Kozin, N. Mocheshnikov, V. Molodkin, A. Mytsykov, V. Nemoshkalenko, A. Shcherbakov, A. Shpak, V. Storizhko, A. Zelinsky","Present Status and Future Plans for Synchrotron Light Source ISI-800",
WEP076L,"S.V. Ivanov, V.E. Kaljuzhny, D.V. Kostin, O.S. Milovanov, A.N. Parfenov, N.P. Sobenin, S.N. Yarigin, A.A. Zavadtsev","Equivalent Scheme and Parameters of Disc Loaded Waveguide at Dipole Mode",
WEP077G,"J.M. Berset, M. Bordessoule, R. Chaput, G. Devanz, F. Glotin, M. Lemonnier, O. Marcouille, J.M. Ortega, R. Prazeres","Production of Tunable X-rays by Intracavity Compton Backscattering in an Infrared Free-electron Laser",
WEP078G,"W.H. Cheng, K.Y. Ng, A. Sessler, J.S. Wurtele","Single Bunch Collective effects in Muon Colliders",
WEP079G,"J.N. Corlett, C. Kim, G.R. Lambertson","Observation and Calculation of Trapped Modes Near Cut-off in the ALS Bellows-shield",
WEP079L,"E. Demmel, S. Luetgert, B. Offermann, H. Schwarz","A New High Power Klystron for the SLAC B-Factory",
WEP080L,"H. Ego, M. Hara, N. Hosoda, Y. Kawashima, Y. Ohashi, T. Ohshima, H. Suzuki, F. Wang, H. Yonehara","Conditioning of RF Cavities and RF Input Couplers for SPring-8",
WEP081G,"M.A. Furman, G.R. Lambertson","The Electron-Cloud Instability in PEP-II",
WEP081L,"A. Kadnikov, Yu. Krylov, S. Kuznetsov, V. Moisseev, V. Petrenko, V. Ushkov, V. Valentinov, Yu. Yupinov","Acoustic Measurements at DAW Accelerating Structures under Operating High RF Power Conditions",
WEP082G,"A. Jackson","Operational Experience with Multi-Bunch Feedback at the Advanced Light Source",
WEP083G,"A. Sessler, J.S. Wurtele","Constraints on Laser-Driven Accelerators for a High Energy Linear Collider",
WEP083L,"A. Fabris, C. Pasotti, M. Svandrlik","Improved Methods of Measuring and Curing Multibunch Instabilities in ELETTRA",
WEP084G,"C. Belser, J.D. Berg, J. Kerns, A. Kulikov, N. Kurita, M. McDaniel, M. Mugge, E. Reuter, W. Stoeffl, U. Wienands","High Current RF Shield for PEP-II Vacuum System Expansion Joint",
WEP084L,"A. Fabris, C. Pasotti, M. Svandrlik","Simulations and Measurements of Higher Order Modes on the ELETTRA RF Cavities in view of Coupled Bunch Instability Compensation by Temperature Variation",
WEP085G,"A.F. Craievich, R.H. Farias, M.J. Ferreira, G. Fraguas, G.S. Franco, C.E.T. Goncalves da Silva, L.C. Jahnel, L. Lin, A.C. Lira, R.T. Neuenschwander, C. Pardine, F. Rafael, A.R.D. Rodrigues, A. Rosa, C. Scorzato, P.F. Tavares, D. Wisnivesky, A.R. da Silva","LNLS Commissioning and Operation",
WEP085L,"G.B. Bowden, S.M. Hanna, H.A. Hoag, R.J. Loewen, R.L. Miller, R.D. Ruth, J.W. Wang","Microwave Cold-Testing Techniques for the NLC",
WEP086G,"F. Amiranoff, D. Bernard, B. Cros, F. Jacquet, J.R. Marques, G. Matthieussent, P. Mine, A. Modena, P. Mora, J. Morillo, F. Moulin, Z. Najmudin, A.E. Specka, C. Stenz","A Summary of the Beat-Wave Experiments at Ecole Polytechnique",
WEP086L,"H. Bohlen, G. Caryotakis, E. Doyle, R. Fowkes, G. Huffman, E. Jongewaard, S. Lenci, E. Lien, E. McCune, G. Miram, C. Pearson, R. Phillips, R. Vranas, E. Wright","Operating Results for the PEP-II 1.2 MW Klystron",
WEP087G,"R.J. Bakker, M. Billardon, M.E. Couprie, A. Delboulbe, D. Garzella, A. Nadji, L. Nahon, D. Nutarelli, R. Roux, B. Visentin","Experimental Observation of the Longitudinal Phase-space Distribution in a Storage Ring: Influence of the Beam Current and the Compaction Factor",
WEP087L,"M. Allen, K. Fant, A. Hill, M. Hoyt, J. Judkins, M. Neubauer, R.A. Rimmer, H. Schwarz","High Power Testing of PEP-II RF Cavity Windows",
WEP088G,"P. Brunelle, M. Corlier, G. Flynn, C. Herbeaux, M.P. Level, A. Nadji, J. Neel, P. Nghiem, J. Payet, P. Peaupardin, J.P. Penicaud, M. Sommer, A. Tkatchenko, M. Tkatchenko","Status of the SOLEIL Project",
WEP089G,"A. Nadji, P. Nghiem","Studies for the Closed Orbit Correction System of SOLEIL",
WEP089L,"K. Fant, T. Lavine, R.J. Loewen, C. Pearson, R. Pope, J. Rifkin, R.D. Ruth, S.G. Tantawi, A.E. Vlieks","The Next Linear Collider Test Accelerator's RF Pulse Compression and Transmission Systems",
WEP090G,"P. Brunelle, G. Flynn, M.P. Level, A. Nadji, M. Sommer, H. Zyngier","Experiments with Low and Negative Momentum Compaction Factor with Super-ACO",
WEP090L,"L.H. Chang, S.S. Chang, Y.I. Chang, K.R. Chu, W.K. Lau, S.J. Lin, Ch. Wang, E. Weihreter, T.T. Yang","Performance of the SRRC/TLS torage Ring RF System",
WEP091G,"R.J. Bakker, M. Billardon, M.E. Couprie, A. Delboulbe, D. Garzella, L. Nahon, D. Nutarelli, R. Roux, B. Visentin","Dynamics of the Super ACO FEL Measured with a Double Sweep Streak Camera",
WEP092G,"S. Hashimoto, K. Kakuno, M. Kawai, H. Kobayashi, Y. Miyahara, K. Ohashi, S. Sasaki, T. Shimada, M. Takao, M. Yokoyama","Construction and Magnetic Field Measurement of Quasi-Periodic Undulator",
WEP092L,"S. Kawatsu, A. Miyahara, T. Ota, Y. Tanabe, Y. Wachi, A. Yamaguchi, C. Yamasaki","Feasibility Study on Superconducting System for Intense CW Ion Linac",
WEP093G,"P. Rojsel","Beam Stability in Max-II",
