froaa2,"M. Blaskiewicz, V.H. Ranjbar [BNL, Upton, Long Island, New York, USA] ","Transverse Beam Transfer Functions via the Vlasov Equation",1427 1429,
tupma20,"R.A. Bosch [UW-Madison/SRC, Madison, Wisconsin, USA] R.A. Legg [JLAB, Newport News, Virginia, USA] ","Effect of RF Gradient upon the Performance of the Wisconsin SRF Electron Gun",625 627,
tupsm01,"T. Takahashi, Y. Nishimura, M. Nishiyama, K. Sakaue, M. Washio [Waseda University, Tokyo, Japan] T. Takatomi, J. Urakawa [KEK, Ibaraki, Japan] ","Study on 2 Cell RF-Deflector Cavity for Ultra-short Electron Bunch Measurement",628 630,
tupsm03,"X.H. Lu, W.-H. Huang, C.-X. Tang [TUB, Beijing, People's Republic of China] R.K. Li, P. Musumeci, K.G. Roberts, H.L. To [UCLA, Los Angeles, California, USA] ","10s Femtosecond Bunch Length Measurement Based on Coherent Transition Radiation",631 633,
tupsm04,"J.H. Park, H. Bluem, J. Rathke, T. Schultheiss, A.M.M. Todd [AES, Princeton, New Jersey, USA] ","High-Charge Femtosecond Electron Generations for Ultrafast, High-Brightness Electron Beam Applications",634 636,
tupsm05,"E.E. Wisniewski, M.E. Conde, W. Gai, C.-J. Jing, W. Liu, J.G. Power [ANL, Argonne, USA] C.-J. Jing [Euclid TechLabs, LLC, Solon, Ohio, USA] L.K. Spentzouris, Z.M. Yusof [Illinois Institute of Technology, Chicago, Illinois, USA] ","Studies of Field and Photo-Emission in a New Short-Pulse, High-Charge Cs2Te RF Photocathode Gun",637 639,
tupsm06,"O.H. Rahman, I. Ben-Zvi, D.M. Gassner, A.I. Pikin, T. Rao, E.J. Riehn, B. Sheehy, J. Skaritka, E. Wang, Q. Wu [BNL, Upton, Long Island, New York, USA] I. Ben-Zvi [Stony Brook University, Stony Brook, USA] ","The Cathode Preparation Chamber for the DC High Current High Polarization Gun",640 642,
tupsm07,"E. Wang, I. Ben-Zvi, J. Kewisch [BNL, Upton, Long Island, New York, USA] ","Parmela Simulation for BNL 704MHz SRF Gun in Low Emittance Operation",643 645,
tupsm08,"E. Wang, I. Ben-Zvi, D.M. Gassner, W. Meng, O.H. Rahman, T. Rao, E.J. Riehn, J. Skaritka [BNL, Upton, Long Island, New York, USA] ","Beam Dynamics of Funneling Multiple Bunches Electrons",646 648,
tupsm09,"J.P. Edelen, S. Biedron, J.R. Harris, S.V. Milton [CSU, Fort Collins, Colorado, USA] J.W. Lewellen [LANL, Los Alamos, New Mexico, USA] ","A Two Frequency Gun for High Current Thermionic Cathode Electron Injector Systems",649 651,
tupsm10,"A.Z. Chen, V.A. Lebedev, A.V. Shemyakin [Fermilab, Batavia, USA] ","The Conceptual Design of PXIE Vacuum System",652 654,
tupsm11,"Y.-M. Shin [Fermilab, Batavia, USA] D.W. Eaton [Scandinova Systems AB, Uppsala, Sweden] A.F. Grabenhofer [Northern Illinois University, DeKalb, Illinois, USA] ","Development of a Compact Photo-injector with RF-Focusing Lens for Short Pulse Electron Source Application",655 657,
tupsm12,"Y.-M. Shin, M.D. Church [Fermilab, Batavia, USA] ","High Power Test of a 3.9 GHz 5-Cell Deflecting-Mode Cavity in a Cryogenic Operation",658 660,
tupsm13,"P. Stabile, M. Ball, J. Czajkowski, J.D. Firebaugh, P.A. Kasley, P.S. Prieto, T.J. Zuchnik [Fermilab, Batavia, USA] ","RF Gun Water Temperature Control System at ASTA",661 663,
tupsm14,"A. Andrews, B.L. Berls, K. Folkman, Y. Kim, C. O'Neill, J. Ralph [IAC, Pocatello, IDAHO, USA] P. Buaphad, C.F. Eckman, Y. Kim [ISU, Pocatello, Idaho, USA] ","EPICS Accelerator Control Systems for Lambda EMS and TCR Magnet Power Supplies",664 666,
tupsm16,"I.N. Draganic (I. Draganić), Y.K. Batygin, C.M. Fortgang, R.W. Garnett, J.G. Gioia, S.S. Kurennoy, R.C. McCrady, J.F. O'Hara, G. Rouleau, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] ","Progress Report of H- Ion Beam Production at the LANL Ion Source Test Stand",667 669,
tupsm17,"C.M. Fortgang, Y.K. Batygin, R.W. Garnett, S.S. Kurennoy, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] ","A Specialized MEBT Design for the LANSCE H+ RFQ Upgrade Project",670 672,
tupsm18,"C.M. Fortgang, Y.K. Batygin, I.N. Draganic (I. Draganić), R.W. Garnett, R.C. McCrady, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] ","Design of a Duoplasmatron Extraction Geometry and LEBT for the LANSCE H+ RFQ Project",673 675,
tupsm19,"L. Rybarcyk, X. Pang [LANL, Los Alamos, New Mexico, USA] ","Application and Calibration Aspects of a New High-Performance Beam-Dynamics Simulator for the LANSCE Linac",676 678,
tupsm20,"M.J. Johnson [NSCL, East Lansing, Michigan, USA] N.K. Bultman, I. Grender, M. Leitner, G. Morgan, O. Yair, Q. Zhao [FRIB, East Lansing, Michigan, USA] ","Integration Between the FRIB Linac Mechanical CAD Model Geometry and the Accelerator Physics Lattice Database",679 681,
tupsm22,"V.G. Dudnikov, R.P. Johnson [Muons, Inc, Illinois, USA] T.R. Pennisi, C. Piller, M. Santana, M.P. Stockli, R.F. Welton [ORNL, Oak Ridge, Tennessee, USA] M.W. Turvey [University of Florida, Gainesville, Florida, USA] ","Improving Efficiency of Ions Production in Ion Source with Saddle Antenna",682 684,
tupsm24,"P. Piot, B.R. Blomberg, D. Mihalcea, H. Panuganti [Northern Illinois University, DeKalb, Illinois, USA] C.A. Brau, B.K. Choi, B.L. Ivanov, J.D. Jarvis, M.H. Mendenhall [Vanderbilt University, Nashville, TN, USA] W.E. Gabella [Vanderbilt University, W.M. Keck Foundation Free-Electron Laser Center, Nashville, USA] P. Piot [Fermilab, Batavia, USA] ","Operation of a Diamond Field-Emission-Array Cathode in an L-Band RF-Gun",685 687,
tupsm25,"H. Panuganti, P. Piot, C.R. Prokop [Northern Illinois University, DeKalb, Illinois, USA] P. Piot [Fermilab, Batavia, USA] ","Multiphoton Emission from Cesium Telluride Photocathodes",688 690,
tupsm26,"M. Borland [Private Address, Westmont, USA] ","Android Application for Monitoring the Status of the Advanced Photon Source",691 693,
tupsm27,"L. Faillace, R.B. Agustsson, H. Badakov, P. Frigola, A. Verma [RadiaBeam, Santa Monica, USA] F. Cianciosi, P. Craievich, M. Trovo (M. Trovò) [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] A. Fukasawa, J.B. Rosenzweig, A. Yakub [UCLA, Los Angeles, California, USA] ","High-power Tests and Initial Electron Beam Measurements of the New High-gradient Normal Conducting RF Photoinjector System for the Sincrotrone Trieste",694 696,
tupsm28,"E.W. Threlkeld, P. Musumeci [UCLA, Los Angeles, California, USA] S. Boucher, L. Faillace, A.V. Smirnov [RadiaBeam, Santa Monica, USA] ","Innovative Low-Energy Ultra-Fast Electron Diffraction (UED) System",697 699,
tupsm30,"C. Nieter, Y. Choi, D.A. Dimitrov [Tech-X, Boulder, Colorado, USA] ","Modeling the Development and Mitigation of Charge Accumulation for Photo Emission Electron Guns",700 702,
tuxa1,"Y. Luo, M. Blaskiewicz, J.M. Brennan, W. Fischer, N.A. Kling, K. Mernick, T. Roser [BNL, Upton, Long Island, New York, USA] ","Burn-off Dominated Uranium and Asymmetric Copper-gold Operation in RHIC",369 373,
tuyaa1,"S. Nagaitsev, S.D. Holmes, D.E. Johnson, M. Kaducak, R.D. Kephart, V.A. Lebedev, C.S. Mishra, A.V. Shemyakin, N. Solyak, R.P. Stanek, V.P. Yakovlev [Fermilab, Batavia, USA] D. Li [LBNL, Berkeley, California, USA] S. Malhotra, M.M. Pande, P. Singh [BARC, Mumbai, India] P.N. Ostroumov [ANL, Argonne, USA] ","The Project-X Injector Experiment: A Novel High Performance Front-end for a Future High Power Proton Facility at Fermilab",374 377,
tuyaa2,"E.J. Pitcher [ESS, Lund, Sweden] C.J. Densham [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","High Power (MW-class) Targets for Particle Beams",378 379,
tuyb2,"A.P. Shishlo [ORNL, Oak Ridge, Tennessee, USA] ","Novel Methods for Experimental Characterization of 3D Superconducting Linac Beam Dynamics",397 401,
tuyba1,"A.V. Aleksandrov [ORNL, Oak Ridge, Tennessee, USA] ","Beam Instrumentation for High Power Hadron Beams",380 384,
tuzaa2,"A. Valloni, O.S. Brüning, M. Klein, D. Schulte, F. Zimmermann [CERN, Geneva, Switzerland] ","Beam Physics in Future Electron Hadron Colliders",408 412,
tuzb1,"J.N. Corlett [LBNL, Berkeley, California, USA] ","Free-Electron Lasers in the Soft X-ray Regime",425 429,
weoaa3,"K.C. Harkay, L.E. Boon, M. Borland, G. Decker, R.J. Dejus, J.C. Dooling, C.L. Doose, L. Emery, J. Gagliano, E. Gluskin, Q.B. Hasse, Y. Ivanyushenkov, M. Kasa, J.C. Lang, D. Robinson, V. Sajaev, K.M. Schroeder, N. Sereno, Y. Shiroyanagi, D. Skiadopoulos, M.L. Smith, E. Trakhtenberg, A. Xiao, A. Zholents [ANL, Argonne, USA] L.E. Boon [Purdue University, West Lafayette, Indiana, USA] ","APS Superconducting Undulator Beam Commissioning Results",703 705,
weoaa4,"C.M. Gulliford, A.C. Bartnik, I.V. Bazarov, B.M. Dunham [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Low Emittance in the Cornell ERL Injector Prototype",706 708,
weoab1,"E. Pozdeyev, N.K. Bultman, G. Machicoane, G. Morgan, X. Rao, Q. Zhao [FRIB, East Lansing, Michigan, USA] ","Status of the FRIB Front End",734 736,
weoab2,"P.N. Ostroumov, A. Barcikowski, Z.A. Conway, S.M. Gerbick, M. Kedzie, M.P. Kelly, S.H. Kim, S.V. Kutsaev, R.C. Murphy, B. Mustapha, R.C. Pardo, D.R. Paskvan, T. Reid, S.I. Sharamentov, G.P. Zinkann [ANL, Argonne, USA] ","Upgrade of Argonne's CW SC Heavy Ion Accelerator",737 739,
weoba2,"M. Mizugaki, Y. Koshiba, K. Sakaue, M. Washio [Waseda University, Tokyo, Japan] R. Kuroda [AIST, Tsukuba, Ibaraki, Japan] T. Takatomi, J. Urakawa [KEK, Ibaraki, Japan] ","Ultra-Short Electron Bunch Generation by a Photocathode RF Gun",719 721,
weoca1,"I. Roth, N. Butler, M.P.J. Gaudreau, M.K. Kempkes [Diversified Technologies, Inc., Bedford, Massachusetts, USA] ","Regulator / Hard Switch Modulator",722 724,
weoca2,"R.B. Agustsson, J.J. Hartzell, S. Storms [RadiaBeam, Santa Monica, USA] ","Inductively Coupled Pulsed Energy Extraction System for 2G Wire-based Magnets",725 727,
weocb1,"K.E. Woods, S. Boucher [RadiaBeam, Santa Monica, USA] V.A. Bashkirov, R.W. Schulte [LLU/MC, Loma Linda, California, USA] B.M. Hegelich [The University of Texas at Austin, Austin, Texas, USA] ","Diagnostic Proton Computed Tomography Using Laser-Driven Ion Acceleration",770 772,
weoda1,"N. Ohuchi, N. Higashi, H. Koiso, A. Morita, Y. Ohnishi, K. Oide, H. Sugimoto, M. Tawada, K. Tsuchiya, H. Yamaoka, Z.G. Zong [KEK, Ibaraki, Japan] M. Anerella, J. Escallier, A.K. Jain, A. Marone, B. Parker, P. Wanderer [BNL, Upton, Long Island, New York, USA] ","Design of the Superconducting Magnet System for the SuperKEKB Interaction Region",759 761,
weoda2,"H. Witte, M. Anerella, J.S. Berg, P. Kovach [BNL, Upton, Long Island, New York, USA] M.L. Lopes [Fermilab, Batavia, USA] ","Rapid Cycling Dipole Magnet",762 764,
weodb1,"B. Podobedov [BNL, Upton, Long Island, New York, USA] G.V. Stupakov [SLAC, Menlo Park, California, USA] ","New Method for Point-Charge Wakefield Calculation",778 780,
weodb2,"J.A. Holmes, S.M. Cousineau, A.P. Shishlo [ORNL, Oak Ridge, Tennessee, USA] R.E. Potts [UTK, Knoxville, Tennessee, USA] ","Space Charge Models for Particle Tracking on Long Time Scales",781 783,
wepac01,"Y. Yang [TUB, Beijing, People's Republic of China] P. Dhakal, J.D. Mammosser, H. Wang [JLAB, Newport News, Virginia, USA] J.D. Fuerst, J.P. Holzbauer, J.A. Kaluzny, A. Nassiri, G. Wu, Y. Yang [ANL, Argonne, USA] ","Time-Resolved Temperature Mapping System for the APS Deflecting Cavity",784 786,
wepac02,"Y. Yang, A. Nassiri, T.L. Smith, G.J. Waldschmidt, G. Wu [ANL, Argonne, USA] H. Wang [JLAB, Newport News, Virginia, USA] Y. Yang [TUB, Beijing, People's Republic of China] ","Mode Damping Measurement for the APS Deflecting Cavity",787 789,
wepac03,"Z. Zheng, Z.Q. He [TUB, Beijing, People's Republic of China] A. Facco [INFN/LNL, Legnaro (PD), Italy] A. Facco, Z.Q. He, Z. Liu, J. Wei, Y. Xu, Y. Zhang, Z. Zheng [FRIB, East Lansing, USA] ","Electro-Magnetic Optimization and Analysis of a Quarter Wave Resonator",790 792,
wepac04,"M.J. Joung, H.J. Kim [IBS, Daejeon, Republic of Korea] A.M. Rowe, M. Wong [Fermilab, Batavia, USA] ","Hydrogen Degassing Study During the Heat Treatment of 1.3-GHz SRF Cavities",793 795,
wepac05,"S.H. Kim, Z.A. Conway, M.P. Kelly, P.N. Ostroumov [ANL, Argonne, USA] E. Burkhardt [Cryomagnetics, Inc., Tennessee, USA] ","Measurement of a Superconducting Solenoid with Applications to Low-beta SRF Cryomodules",796 798,
wepac06,"J.C. Brutus, S.A. Belomestnykh, I. Ben-Zvi, Y. Huang, V. Litvinenko, I. Pinayev, J. Skaritka, L. Snydstrup, R. Than, J.E. Tuozzolo, W. Xu [BNL, Upton, Long Island, New York, USA] T.L. Grimm, R. Jecks, J.A. Yancey [Niowave, Inc., Lansing, Michigan, USA] ","Mechanical Design of the 704 MHz 5-cell SRF Cavity Cold Mass for CeC PoP Experiment",799 801,
wepac07,"J.C. Brutus, S.A. Belomestnykh, Y. Huang, V. Litvinenko, G.J. Mahler, I. Pinayev, J. Skaritka, L. Snydstrup, R. Than, J.E. Tuozzolo, Q. Wu, T. Xin [BNL, Upton, Long Island, New York, USA] ","Mechanical Design of 112 MHz SRF Gun FPC for CeC PoP Experiment",802 804,
wepac09,"G.M. Ge, G.H. Hoffstaetter [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","A Temperature-Mapping System for Multi-Cell SRF Accelerator Cavities",805 807,
wepac10,"G.M. Ge, G.H. Hoffstaetter [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Investigation of the Surface Resistivity of SRF Cavities via theHEAT and SRIMP Program as well as the Multi-cell T-Map System",808 810,
wepac11,"R.G. Eichhorn, G.M. Ge, Y. He, G.H. Hoffstaetter, M. Liepe, T. O'Connel, P. Quigley, D.M. Sabol, J. Sears, E.N. Smith, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Cornell's Main Linac Cryo-module Prototype",811 813,
wepac12,"S. Posen, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] G. Catelani [Forschungszentrum Juelich, Peter Gruenberg Institut (PGI-2), Juelich, Germany] J.P. Sethna [Cornell University, Ithaca, New York, USA] M.K. Transtrum [M.D.A.C.C., Houston, Texas, USA] ","Theoretical Description of SIS Multilayer Films for SRF Cavities",814 816,
wepac13,"R.G. Eichhorn, B. Bullock, B. Clasby, J.J. Kaufman, B.M. Kilpatrick, S. Posen, J. Sears, V.D. Shemelin [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] T. Kuerzeder (T. Kürzeder) [TU Darmstadt, Darmstadt, Germany] ","Achieving High Accuracy in Cornell's ERL Cavity Production",817 819,
wepac14,"P.V. Avrakhov, A. Kanareykin, R.A. Kostin [Euclid TechLabs, LLC, Solon, Ohio, USA] N. Solyak, V.P. Yakovlev [Fermilab, Batavia, USA] ","Studies of the Superconducting Traveling Wave Cavity for High Gradient Linac",820 822,
wepac17,"I.M. Malloch, C. Compton, L. Popielarski [FRIB, East Lansing, Michigan, USA] ","Study on Particulate Retention on Polished Niobium Surfaces after BCP Etching",823 825,
wepac18,"K. Elliott [NSCL, East Lansing, Michigan, USA] I.M. Malloch, L. Popielarski, N. Putnam [FRIB, East Lansing, Michigan, USA] ","SRF Cavity Etching Developments for FRIB Cavity Processing",826 828,
wepac20,"Y. Xu, A.D. Fox, M.J. Johnson, M. Leitner, S.J. Miller, K. Saito [FRIB, East Lansing, Michigan, USA] ","Magnetic Shield Optimization for the FRIB Superconducting Quarter-Wave Resonator Cryomodule",829 831,
wepac21,"P. Berrutti, M.H. Awida, T.N. Khabiboulline, D. Passarelli, L. Ristori, V.P. Yakovlev [Fermilab, Batavia, USA] ","Tuning Process of SSR1 Cavity for Project X at FNAL",832 834,
wepac22,"P. Berrutti, T.N. Khabiboulline, L. Ristori, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, USA] ","Single Spoke Resonator Inner Electrode Optimization Driven by Reduction of Multipoles",835 837,
wepac23,"P. Berrutti, T.N. Khabiboulline, L. Ristori, G.V. Romanov, A.I. Sukhanov, V.P. Yakovlev [Fermilab, Batavia, USA] ","Multipacting Simulations of SSR2 Cavity at FNAL",838 840,
wepac25,"I.V. Gonin, M.H. Awida, E. Borissov, M.H. Foley, C.J. Grimm, T.N. Khabiboulline, M. Merio, Y.M. Pischalnikov, L. Ristori, V.P. Yakovlev [Fermilab, Batavia, USA] ","New Helium Vessel and Lever Tuner Designs for the 650 MHz Cavities for Project X",841 843,
wepac29,"T.T. Arkan, M.H. Awida, P. Berrutti, E. Borissov, C.M. Ginsburg, C.J. Grimm, E.R. Harms, A. Hocker, T.N. Khabiboulline, Y.O. Orlov, T.J. Peterson, R.V. Pilipenko, Y.M. Pischalnikov, K.S. Premo, L. Ristori, W. Schappert, V.P. Yakovlev [Fermilab, Batavia, USA] ","CM2, Second 1.3GHz Cryomodule Fabrication at Fermilab",844 846,
wepac32,"M.H. Awida, P. Berrutti, T.N. Khabiboulline, A. Saini, V.P. Yakovlev [Fermilab, Batavia, USA] ","Wakefield Loss Analysis of the Elliptical 3.9 GHz Third Harmonic Cavity",847 849,
wepac33,"E.I. Simakov, S. Arsenyev, W.B. Haynes, S.S. Kurennoy, D. C. Lizon, J.F. O'Hara, E.R. Olivas, D.Y. Shchegolkov, N.A. Suvorova, T. Tajima [LANL, Los Alamos, New Mexico, USA] S. Arsenyev [MIT/PSFC, Cambridge, Massachusetts, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] ","Results of the New High Power Tests of Superconducting Photonic Band Gap Structure Cells",850 852,
wepac34,"S. Arsenyev [MIT/PSFC, Cambridge, Massachusetts, USA] E.I. Simakov [LANL, Los Alamos, New Mexico, USA] ","Update on the Design of a Five-Cell Superconducting RF Module with a PBG Coupler Cell",853 855,
wepac35,"S.A. Rice, J.P. Verboncoeur [Michigan State University, East Lansing, USA] ","Initial Studies of Multipactor Suppression Via TE and TM Modes",856 858,
wepac39,"A. Castilla, J.R. Delayen [ODU, Norfolk, Virginia, USA] A. Castilla, J.R. Delayen [JLAB, Newport News, Virginia, USA] A. Castilla [DCI-UG, León, Mexico] ","Tests of an RF Dipole Crabbing Cavity for an Electron-Ion Collider",859 861,
wepac40,"S.U. De Silva, J.R. Delayen, H. Park [ODU, Norfolk, Virginia, USA] S.U. De Silva, J.R. Delayen, H. Park [JLAB, Newport News, Virginia, USA] Z. Li [SLAC, Menlo Park, California, USA] ","Mechanical Analysis of the 400 MHz RF-Dipole Crabbing Cavity Prototype for LHC High Luminosity Upgrade",862 864,
wepac41,"H. Park, S.U. De Silva, J.R. Delayen [JLAB, Newport News, Virginia, USA] S.U. De Silva, J.R. Delayen, H. Park [ODU, Norfolk, Virginia, USA] ","Comparison of Electromagnetic,,Thermal and Mechanical Calculations with RF Test Results in RF-Dipole Deflecting/Crabbing Cavities",865 867,
wepac42,"C.S. Hopper, K.E. Deitrick, J.R. Delayen [ODU, Norfolk, Virginia, USA] J.R. Delayen [JLAB, Newport News, Virginia, USA] ","Geometry Effects on Multipole Components and Beam Optics in High-Velocity Multi-Spoke Cavities",868 870,
wepac43,"R.G. Olave, S.U. De Silva, J.R. Delayen [ODU, Norfolk, Virginia, USA] Z. Li [SLAC, Menlo Park, California, USA] ","Study of Cavity Imperfection Impact on RF-Parameters and Multipole Components in a Superconducting RF-Dipole Cavity",871 873,
wepac44,"C.-K. Ng, Z. Li, L. Xiao [SLAC, Menlo Park, California, USA] A. Nassiri, G.J. Waldschmidt, G. Wu [ANL, Argonne, USA] R.A. Rimmer, H. Wang [JLAB, Newport News, Virginia, USA] ","Higher Order Modes Damping and Multipacting Analysis for the SPX Deflecting Cavity in APS Upgrade",874 876,
wepac46,"C.-K. Ng, K.L.F. Bane [SLAC, Menlo Park, California, USA] ","Wakefield Computations for a Corrugated Pipe as a Beam Dechirper for FEL Applications",877 879,
wepac47,"G. Cheng, J. Henry, J.D. Mammosser, R.A. Rimmer, H. Wang, M. Wiseman, S. Yang [JLAB, Newport News, Virginia, USA] ","Mechanical Design of a New Injector Cryomodule 2-Cell Cavity at CEBAF",880 882,
wepba01,"A.C. Garcia-Bonilla, J.F. Cardona [UNAL, Bogota D.C, Colombia] ","Noise Reduction using Filters on Turn-by-Turn LHC Orbits to Obtain Magnetic Errors with the Action and Phase Jump Analysis Method",883 885,
wepba02,"K. Jimbo [Kyoto University, Kyoto-fu, Japan] M. Nakao, A. Noda, T. Shirai [NIRS, Chiba-shi, Japan] H. Souda [Gunma University, Heavy-Ion Medical Research Center, Maebashi-Gunma, Japan] H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] Y. Yuri [JAEA/TARRI, Gunma-ken, Japan] ","Possible Observation of Transverse Laser Cooled Ultimate Cold Ion Beam in S-LSR*",886 888,
wepba04,"A.L. Romanov, I. Koop, E. Perevedentsev, D.B. Shwartz [BINP SB RAS, Novosibirsk, Russia] ","Luminosity Estimation and Beam Phase Space Analysis at VEPP-2000",889 891,
wepba05,"P. Oddo, M. Bai, W.C. Dawson, J. Kewisch, Y. Makdisi, C. Pai, P.H. Pile, T. Roser [BNL, Upton, Long Island, New York, USA] ","Combining Multiple BPM Measurements for Precession AC Dipole Bump Closure",892 894,
wepba06,"A. Blednykh, W.X. Cheng, S. Krinsky [BNL, Upton, Long Island, New York, USA] ","Stripline Beam Impedance",895 897,
wepba07,"A. Blednykh, S. Krinsky [BNL, Upton, Long Island, New York, USA] ","Longitudinal Wakefield for an Axisymmetric Collimator",898 900,
wepba08,"A.V. Fedotov, I. Pinayev [BNL, Upton, Long Island, New York, USA] A. Novokhatski [SLAC, Menlo Park, California, USA] ","Wake Fields due to Wall Roughness for Realistic Surfaces",901 903,
wepba09,"J.P. Sikora, J.A. Crittenden, D.O. Duggins, Y. Li, X. Liu [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Changes in Electron Cloud Density with Beam Conditioning at CesrTA",904 906,
wepba12,"L.N. Brouwer, S. Caspi, D. Robin, W. Wan [LBNL, Berkeley, California, USA] ","3D Toroidal Field Multipoles for Curved Accelerator Magnets",907 909,
wepba13,"Z. Duan, J.S. Hummelt, M.A. Shapiro, R.J. Temkin [MIT/PSFC, Cambridge, Massachusetts, USA] ","Retrieval of Effective Parameters of Metamaterials for Accelerator and Vacuum Electron Device Applications",910 912,
wepba14,"M.A. Shapiro, J.S. Hummelt, B.J. Munroe, R.J. Temkin [MIT/PSFC, Cambridge, Massachusetts, USA] S.M. Lewis [MIT, Cambridge, Massachusetts, USA] ","Simulation of Wakefields from an Electron Bunch in a Metamaterial Waveguide",913 915,
wepba15,"V.G. Dudnikov, A. Dudas [Muons, Inc, Illinois, USA] A.V. Aleksandrov [ORNL, Oak Ridge, Tennessee, USA] ","Ribbon Electron Beam Source for Bunched Beam Profile Monitor and Tomography",916 918,
wepba16,"V.V. Danilov, A.V. Aleksandrov, J. Galambos, T.V. Gorlov, Y. Liu, A.P. Shishlo [ORNL, Oak Ridge, Tennessee, USA] S. Nagaitsev [Fermilab, Batavia, USA] ","Possible Experiments on Wave Function Localization Due to Compton Scattering",919 921,
wepba17,"F.H. O'Shea, R.B. Agustsson, A.Y. Murokh, E. Spranza [RadiaBeam, Santa Monica, USA] S. Nagaitsev, A. Valishev [Fermilab, Batavia, USA] ","Measurement of Non-Linear Insert Magnets",922 924,
wepba18,"A.V. Smirnov, R.B. Agustsson, S. Boucher, J.J. Hartzell, S. Storms [RadiaBeam, Santa Monica, USA] Y. Kim [IAC, Pocatello, IDAHO, USA] ","Performance of Planar Radiator in the Radiabeam-IAC Experiment",925 927,
wepba19,"K.L.F. Bane, T.O. Raubenheimer [SLAC, Menlo Park, California, USA] ","Wakefield Calculations for Septum Magnet in LCLS-II",928 930,
wepba20,"K. Poor Rezaei, R.B. Fiorito, R.A. Kishek [UMD, College Park, Maryland, USA] ","New Technique to Measure the Emittance of Beams with Space Charge",931 933,
wepho01,"A.K. Mitra, Z.T. Ang, I.V. Bylinskii, S. Calic, D. Dale, S.R. Koscielniak, R.E. Laxdal, F. Mammarella [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","High Power RF System for e-linac for TRIUMF",934 936,
wepho03,"A.Yu. Smirnov, E.V. Ivanov, A.A. Krasnov, K.I. Nikolskiy, S.A. Polikhov, I. Rezanov [Siemens Research Center, Moscow,, Russia] G.B. Sharkov [Siemens LLC, Moscow, Russia] ","The Layout of 352 MHz 400 kW RF Power Amplifier",937 939,
wepho04,"A.Yu. Smirnov, E.V. Ivanov, A.A. Krasnov, K.I. Nikolskiy, S.A. Polikhov, I. Rezanov [Siemens Research Center, Moscow,, Russia] G.B. Sharkov [Siemens LLC, Moscow, Russia] ","The Layout of 72 MHz 16 kW RF Power Generator",940 942,
wepho05,"D. Bruno, A. Di Lieto, G. Ganetis, R.F. Lambiase, W. Louie, C. Mi, T. Samms, J. Sandberg [BNL, Upton, Long Island, New York, USA] ","Overview of the RHIC e-Lens Superconducting Magnet Power Supply System",943 945,
wepho08,"L.R. Ives, G. Collins, R. Karimov, D. Marsden, M.E. Read [CCR, San Mateo, California, USA] E.L. Eisen, T. Kimura [CPI, Palo Alto, California, USA] ","200 kW CW, 350 MHz Multiple Beam Inductive Output Tube",946 947,
wepho09,"M.E. Read, G. Collins, P. Ferguson, L.R. Ives, R.H. Jackson, D. Marsden [CCR, San Mateo, California, USA] ","10 MW, L-Band, Annular Beam Klystron for Accelerator Applications",948 950,
wepho10,"N. Sipahi, S. Biedron, S.V. Milton, T. Sipahi [CSU, Fort Collins, Colorado, USA] C. Adolphsen [SLAC, Menlo Park, California, USA] ","X-Band RF Power Generation via an L-Band Accelerator System and Uses",951 953,
wepho11,"J. Kinross-Wright, M.P.J. Gaudreau, F.M. Niell, K. Schrock, B.E. Simpson [Diversified Technologies, Inc., Bedford, Massachusetts, USA] ","Components of Heating and Fueling of Fusion Plasmas",954 956,
wepho12,"R.A. Phillips, M.P.J. Gaudreau, B.E. Simpson [Diversified Technologies, Inc., Bedford, Massachusetts, USA] ","Affordable, Short Pulse Marx Modulator",957 959,
wepho13,"X. Chang, N. Barov, D.J. Newsham, D. Wu [Far-Tech, Inc., San Diego, California, USA] ","Test of an L-Band Energy-Efficiency Solid State RF Power Source",960 962,
